Redes Privativas | Turma 1 
quinta, 24/04/2025

0:17 - Palestrante Não Identificado Vocês estão vendo?
10:39 - Loreno Tranquilo. Então, eu estava comentando sobre a questão do conforto do usuário. Eu tinha começado a falar primeiro da privacidade, mas é óbvio também que existem outros fatores, tipo flexibilidade e desempenho. Por exemplo, o desempenho é bastante óbvio também, porque, vamos dizer, se você quer uma comunicação corporativa, por exemplo, em detrimento de uma pessoal, sempre que você quiser essa comunicação corporativa, ela tem que estar disponível em detrimento da pessoal, certo? Então, é um conforto própria empresa vai ter. E a questão também de flexibilidade, permitindo uma separação de forma mais flexível, mais dinâmica. Mas vamos ver isso com um pouco mais de detalhes. Eu vou sempre chamar a atenção, eu fiz como se fosse um carimbo desses três itens, vou sempre repetir ele nas próximas três ou quatro Bom, então o exemplo que eu vou pegar aqui é o exemplo de rede privativa telefônica. Para começar, depois a gente vai falar de LAN também. Antigamente havia um equipamento chamado CPCT, Central Privada de Comunicação Telefônica. Esse equipamento englobava várias categorias, tipo PBX, que não é automático, que você tem que sempre pedir para a operadora para fazer a conexão por qualquer coisa, o PABX e o KS, que era uma coisa que existia até nas residências, que era um telefone automático, onde agrupava várias linhas. E a característica dele é que permitia a seleção do ramal diretamente, o KS em particular e o PABX no próprio aparelho. Só para dar essa ideia, que isso é uma coisa antiga, que desde o início Os tempos aí haviam. Então, só para dar um exemplo aqui, imagine uma empresa com 15 funcionários, que tem uma diretoria, tem um departamento de finanças, um homo xarifado e vendas. E você não quer que o pessoal do homo xarifado fique fazendo ligação. Você só quer que receba chamadas. Só quando alguém chamar para o homo xarifado e assim mesmo tem que ser alguém da empresa, por exemplo. Então, isso é um conforto que você provavelmente não vai ter, se você contratar uma linha ou então vai ficar caro se você contratar uma linha com essas características, tá? Então o que acontece? Chega num equipamento, num distribuidor geral, né? As linhas, pode chegar, sei lá, cinco linhas, por exemplo, para atender esse pessoal. Ao clássico, se você botar um PABX, você vai botar uma pessoa a mais na mesa operadora e vai colocar, por exemplo, duas linhas só. Então, que antes era o preço de cinco linhas, o custo da telefonia, que era de cinco linhas, vai se reduzir para duas linhas. Então essa que é a ideia. E aí todos os telefones podem ficar dependentes da operadora, por exemplo, como eu fiz aqui, só o da editoria que seria independente. Então, explicando aqueles três itens. Nós temos economia, temos privacidade e temos conforto para o usuário. O usuário não precisa tentar acessar, ligar para alguém, a operadora vai fazer isso para ele, coisas desse gênero. As redes privativas de dados são a mesma coisa. O primeiro tipo de rede Como vocês, conforme a gente conversou ontem, eu tô sendo meio repetitivo aqui na nomenclatura, na hora de esclarecer os conceitos, tá? Então, um conceito que vocês têm que ter em mente é o conceito de LAN, que é Local Area Network. Essa LAN, ela tem aplicação predial até em campos, se fala em LAN de uma universidade, por exemplo. Ou até em um prédio ou em um edifício de um andar a pé. Existe também o conceito de MAM, Metropolitan Area Network, quando você tem vários escritórios na mesma cidade. É uma aplicação numa mesma cidade ou até numa mesma área metropolitana. É considerado uma MAM. E o AM quando você tem cidades diferentes, como ter urbano etc. E as tecnologias que são usadas, a mais conhecida é a internet, mas existe também token bus, token ring e outras. Wi-Fi é muito utilizado em redes locais também. Antigamente tinha o ATM, as células através de células ATM, que é um modo que era chamado de modo assim, de transferência, e que foi especificado pelo IPU e também especificado por uma série de organismos com o tamanho de uma célula padrão e, posteriormente, o mesmo equipamento era usado tanto para telefonia quanto para dados, como para LAN, tipicamente. Mais tarde vieram os servidores H323 e os E hoje em dia tem o 4G e o 5G. Então, esse é um apanhado geral das dadas. O que são redes privativas de dados e quais são as tecnologias aí.

16:42 - Ícaro De Oliveira Castro Costa Professor, uma dúvida, por favor.

16:44 - Loreno Pode falar.

16:45 - Ícaro De Oliveira Castro Costa Esse token que é usado, são dois tipos de token, né? Eles seriam usados para criptografia, cartas de segurança? Teria diferença entre eles? De tokens aí, foi mencionada?

16:57 - Loreno Não, a questão é da filosofia de trabalho, tá? Essa filosofia token, ela nasceu em outras redes, por exemplo, a rede Xerox, tá? Se não me engano. E aí a filosofia que você tem que... Que é a filosofia que você tem que... Alguém tem que devolver para você poder falar, o cara tem que... Você tem que devolver um token, Temo te pergunta para um token, ele te manda o token e você devolve para ele. E existe então a topologia anel e a topologia bus, basicamente. Isso aqui, se vocês quiserem, eu tenho um curso sobre isso. Então podemos pegar esse curso, eu posso acrescentar alguns slides aqui, mas para ser breve, é isso aí.

17:52 - Clodoaldo Callogero1 Professor, as redes ATM e A323H323 e VoIP, ainda elas são comuns no mercado, é isso? Comuns eu não digo, mas elas existem.

18:07 - Loreno Elas existem ainda. Essa de VoIP com certeza. Existem muitos. A VoIP sim.

18:15 - Clodoaldo Callogero Deixa eu até aproveitar e não interromper mais.

18:20 - Loreno Professor, E o VoIP precisa do A323. Deixa eu aproveitar. Aquele PDF que o senhor salvou foi sensacional.

18:30 - Clodoaldo Callogero Pena que a aula foi gravada por quatro horas, então a parte final ficou truncada. Mas se o senhor puder salvar o PDF de novo, vai ser muito bem-vindo.

18:46 - Loreno Obrigado. Vai ser salvo.

18:49 - Clodoaldo Callogero É o Brodo Aldo que está falando.

18:53 - Loreno É o velhinho da turma. Professor, dá licença. Tem uma colocação também, aproveitando a oportunidade.

19:03 - Carlos Batista O senhor passou no slide anterior uma topologia e falando de rede de voz. O senhor conseguiria exemplificar uma situação real? Eu tenho essa dúvida, porque quando se fala em voz, existe hoje uma rede de voz em funcionamento privativo. Por exemplo, tem uma faixa numérica, você tem que ter uma faixa numérica, e quando fala em privativo, você tem que pedir para ela ter uma faixa numérica, Então, hoje, existe uma rede privativa em que alguma empresa pediu uma faixa de numeração e, efetivamente, ela usa isso. Eu gostaria de entender essa topologia, porque na telefonia pública comunitária é totalmente diferente. Você tem um pólio que as operadoras dão manutenção e, quando isso vira privativo, Como funciona? Tem um corpo privado lá que vai dar manutenção, mas eu gostaria muito de...

20:20 - Loreno Então, peraí, vamos... Se o senhor quiser... A sua pergunta tem uma porção de elementos aí que nós temos que estrechar um pouco, tá? Primeiro, a rede da empresa é privativa, certo? As linhas são linhas públicas, pelo menos na minha figura aqui. É isso que eu quis representar. Então eu quis representar que, por exemplo, para você ter o serviço de telefonia, por exemplo, numa rede privativa, você precisa ter várias linhas. Essas linhas não precisam ter números sequenciais, não. Tem várias empresas que têm número tipo 3452XXX, digamos, depois 2, 5, 2, XXX, 30, 40, XXX, entendeu? Não tem nada a ver o número de uma linha com a outra. Claro que, geralmente, se você é um cara que, digamos, consegue pedir, tem um bom vendedor na empresa operadora, ele vai te vender as linhas sequenciais e tudo, vai ficar mais elegante, mais prático, entendeu? Que têm a ver uma coisa com a outra. Mas normalmente são linhas, números completamente independentes. Só que a diferença é que essas linhas que a telefonista tem aqui, ela vai pôr em busca sequencial. Ou seja, se alguém chamar para ela, a primeira linha vai para a segunda e por aí vai. Isso também é possível na do esquema do PABX, desculpe. Isso seria possível também se a telefônica quisesse dar essa facilidade, digamos, tá? Mas geralmente não é isso. É um número independente para cada linha. Então, se, por exemplo, alguém chamar para o diretor, ele vai ter que chamar um número diferente. E quiser chamar para finanças, é outro número, óbvio. E é outra linha tronco que vai pegar, tá?

22:28 - Carlos Batista Deixa eu aproveitar e fazer uma pergunta mais diretiva, então. Entendi o que o senhor quis dizer. Com as redes privativas, você vai conseguir atingir áreas, por exemplo, menos favorecidas, ou até comercializar linhas telefônicas, você pode virar um empreendedor, ele pode virar um empreendedor e atender, com rede privativa, áreas...

22:54 - Loreno Dentro do contexto telefônico, que nós estamos aqui, só se você quiser ser um prestador de serviço telefônico. Agora, no contexto das redes 4G e 5G, de certa forma isso passa a ser possível, desde que você negocie com a prestadora. A questão da frequência, etc. Entendeu? Imagina que você tem uma empresa grande, uma fábrica, digamos, na beira de uma favela. E digamos que na favela o pessoal consiga pegar a sua cobertura. É óbvio que, em primeiro lugar, eles teriam que ter autorização para entrar nessas frequências. E segundo, você explorar esse serviço, só se você for... Como é que o pessoal está chamando da militância ainda? Só se você quiser se transformar num prestador de serviço, claro. Na milícia. Só se você for da milícia. É que eu viajei um pouco aí.

24:09 - Carlos Batista Você desculpa aí, interromper a aula. Eu viajei um pouco aí. Inclusive, serviço de segurança pública, por exemplo. Você vê vários provedores hoje que estão sendo vandalizados. Acho que tudo bem. A capitalidade de rede dele é atendida por fibra ótica. Então, se houvesse, só para finalizar, em algum momento esse problema de segurança pública que a gente vem vivendo aí, desses provedores aí, sendo chantageados, sucateados, vandalizados, de a rede privada poderia se atender de certa forma? Porque, na verdade, a borda lá, vamos falando aí de rádio... Sim, isso pode ser...

24:45 - Loreno Isso pode ser... Isso aí, O otimista diria para você, sim, já que você pode utilizar as mesmas frequências. Mas o pessimista diria para você o seguinte, se eles não conseguem nem evitar que o celular fale no presídio, imagina evitar que o pessoal faça isso. Tem esse detalhe. Não sei se você está me entendendo.

25:16 - Palestrante Não Identificado Entendi, entendi.

25:18 - Loreno Teoricamente sim, mas existe todo um entorno que às vezes dificulta isso. Já vimos os tipos de rede. Agora vamos pensar em uma rede privativa de voz e dados, para vocês verem bem a integração. O que você tem na entrada? É um suíte que recebe um conjunto de linhas-tronco e aqui dentro você tem a diretoria, os equipamentos, as impressoras, os terminais, os telefones que eventualmente existirem, o pessoal de vendas, você tem toda a disposição aí. Então é uma situação que é muito melhor do que a situação que havia antigamente das comunicações de voz e dados separadas. Bom, agora eu ia pular para uma parte, dado essa motivação aí, eu ia pular para uma parte que é a partir de conceitos. Se eu estiver chovendo muito no molhado, vocês, por favor, me interrompam. Mas é o que eu pretendo falar um pouquinho de rede internet, protocolos e um pouquinho do modelo OASI também. Porque a gente vai usar esses conceitos quando for falar de LAN, quando for falar de VLAN, quando for falar de VRF e de VPL. Ok? Então assim, internet todo mundo sabe o que é. É aquele padrão IEEE 802.3, Foi inicialmente criado a 10 megabits por segundo, depois foi criada a fast internet a 100 megabits por segundo, depois a giga internet, que é 1 giga, e hoje já tem as 10 giga base T e 10 giga em fibra ótica, 10 e 100 giga internet. Foram criados e é uma comunicação... Eu não tenho o número aqui para dar para vocês, mas eu já tive esse número em mãos. Eu acho que a internet representa algo como 70% das redes corporativas. Só que eu estou chutando esse número, depois eu posso colocar naqueles slides adicionais, eu posso pesquisar esse número com mais calma e colocar pra vocês, tá bom? E a internet surgiu junto com essa padronização do modelo de interconexão de sistemas abertos da ISO. Chamado Modelo OSI. É a International Standardization Organization. Foi quem padronizou ao final esse modelo. Eu não sei se vocês têm esse conhecimento, ela padroniza muita coisa, tá? Bom, inclusive essas normas de ambiente, essas normas de ISO 9000, de qualidade, padronizam uma série de coisas. Padroniza até copo de vinho, pra vocês terem uma ideia. E também padronizou essa forma de comunicação entre sistemas abertos. Nós vamos falar um pouquinho sobre ela. Basicamente é isso aí. Aqui só para um detalhe divertido. Olha como a Xerox desenhou a internet. Um meio de comunicação que é chamado de Ether. Essa figura a maioria conhece. Quem é de telecomunicações já deve ter visto. E cada host, cada micro, tem uma interface que se liga a essa interface. Essa é a ideia. Só um detalhe peculiar. Falar um pouquinho agora da interconexão de sistemas abertos. Então, até 1977, o que tinha acontecido é que a ISO estava trabalhando num modelo chamado HDL-C, que é o High Level Data Link Control, que era um modelo para ser usado, uma estrutura de quadro usada na comunicação ponto a ponto, que era usada assim, por exemplo, usando a rede pública telefônica. Então usando essas linhas telefônicas que não são sujeitas a ruído, a diafonia, uma série de problemas. Então foi padronizado, porque foi necessário, esse padrão HDTC. E a partir daí houve uma série de normas que em 83 culminou com que a gente vai ver a seguir aqui. O objetivo desse modelo é a comunicação entre sistemas de processamento heterogêneo através de um conjunto padrão de protocolos que permitem funcionar, digamos, IBM, Microsoft, Apple, qualquer estilo Qualquer fabricante pode se comunicar através desses sistemas. É um sistema aberto. Bom, esse modelo tem três níveis de abstração, que o pessoal chama de arquitetura, serviços e protocolos. Significa que quando eles vão tratar de um assunto, eles vão tratar nesses três níveis. Primeiro eles vão apresentar a arquitetura, que é o conjunto dos possíveis serviços, os protocolos e implementações, a seguir eles vão padronizar os serviços, que é o conjunto dos possíveis protocolos e implementações, e a seguir eles vão padronizar os protocolos, que é o conjunto das possíveis implementações. O modelo ISO é uma coisa assim. Existe um sistema A, B e C, existe uma rede de comunicações e dentro de cada um desses sistemas existem aspectos que são pertinentes. A respeito de interconexão. É óbvio, se você ligar um fio no A, você tem que ligar um fio no D. Ou então você tem que ligar um fio na rede, num conector de rede, digamos. Então é óbvio que existe uma necessidade de... Há fatores que têm que ser levados em consideração de interconexão. Não é só aplicação, que tem que ser comum. Ok? Então, antes de ir para as definições, eu vou pular aqui para essa figurinha, que eu acho bem didática. Então é a mesma figurinha de antes, os sistemas A, B e C expostos aí, e o meio de comunicação é uma espécie de um bus, e todos eles falam entre si. Então, em primeiro lugar, existe um processo de aplicação. O exemplo que eu sempre dava e que foge completamente é o padrão. Você quer calcular o seno de 30 graus. E aí você não sabe calcular o seno de 30 graus no sistema A Aí ele vai pedir para o sistema B, como é que se calcula isso? Talvez até para o sistema C, como está representando aqui. Então, a aplicação é isso aí. O que você quer fazer? Para que você quer comunicar? Esse aqui é o objetivo. E existem outros aspectos, o controle de erros, a retransmissão. A gente vai ver com calma cada um deles aí. Então, para voltar nas definições, o que é um sistema real? Isso aqui são definições da ISO. Se não me engano, eu dei uma simplificada para tornar mais palatável. O que é um sistema real? É o conjunto autônomo de um ou mais computadores, software, periféricos, terminais, operadores, processos, meios físicos capazes de realizar o processamento e a transferência de informações. É aquilo que eu comentei lá, que você tem todo esse aparato para colar um ceno de 30 graus, digamos. O que é a interconexão? É a troca de informações que vai ser necessária. Você não precisa, por exemplo, no sistema A pode ser que ele precise o centro de 30 para calcular algum dado interno do sistema lá. Isso não interessa para o sistema, o que interessa é a pergunta, quanto é o centro de 30, que ele vai então tratar e tentar resolver. Os meios físicos são esses meios que podem ser na forma de, como a gente comentou antes, pode ser na forma de bus, de anel, pode ser na forma de circuitos independentes. Não precisa ser o mesmo circuito, pode ter meios físicos que são separados, óbvio. E os exemplos de aplicação que ele deu, operação no terminal bancário. Então você entra lá no terminal bancário, ATM, e aí um programa Fortran está sendo executado. Esses são os exemplos que a própria ISO deu. E o centro de controle industrial, mandando formamos um conjunto de robôs. São exemplos típicos, vocês devem conhecer centenas de outros exemplos melhores. Agora a ideia das camadas e subsistemas. A grosso modo eles dividiram assim, a gente pode pegar e fazer uma estratificação em camadas. Em cima do meio físico. A camada 1 seria a camada imediatamente em contato com o meio físico, a camada 2 seria a camada seguinte, até a camada M, que seria a camada necessária lá. A parte da camada que pertence... Repare que a camada é uma coisa que atravessa todos os sistemas. É uma janela que você enxerga os procedimentos, os protocolos, de todos os sistemas entre si que estão interconectados. E o subsistema é uma parte de um sistema que diz respeito a uma subcamada, uma camada específica. Então por isso que eu comentei aqui subsistema C, camada M. Essa aqui foi a ideia. Quais os critérios que eles adotaram? Para separar em camadas. Claro que esses critérios, como eu comentei com vocês, esse modelo foi sendo desenvolvido para e passo com a Ethernet e com o modelo HDLC. Então o que acontece? Já havia um sentimento de que itens que deveriam ser isolados como camada 1, que itens que deveriam ser considerados camada 2. E aí o sistema foi sendo construído de forma compatível com isso. Obviamente. Aqui as definições. Não sei se vou usar muito, mas conceituei aqui. O que é a entidade N? A entidade N é aquilo que a gente apresentou aqui. Aqui seria a entidade CN. É a parte ativa, a parte que interage com as outras do sistema. E pode ter parte É só receptiva, é só notificação de falha, por exemplo. Agora, qual é o padrão desse modelo? Exceto pela última camada, cada camada fornece serviços à camada superior, que eles chamam de serviços N, as camadas N mais 1. Esses serviços são fornecidos utilizando as funções da camada N, já que ela tem parte ativa, e, quando necessário, os serviços da camada inferior. E um ponto de acesso ao serviço, que eles chamam de N-Service Access Point, é o ponto através do qual as entidades cooperam para conversar entre si. Aqui tem um desenho mais didático, talvez. O que o desenho é o seguinte, cada entidade aqui, vocês veem que ela tem um protocolo, quantidade do par, então assim, as entidades pares, são chamadas pares, de mesma ordem, elas mantêm o protocolo entre si, usam serviços de entidades inferiores, que por sua vez pode estar mantendo um protocolo também entre si. E assim vai até a última camada. Esse é o conceito. Aqui é uma figurinha só para mostrar a diversidade. Então, sem entidade N, você pode ter na mesma camada N, em subsistemas diferentes, mais do que duas entidades cooperando. É o caso aqui. Eles têm uma conexão N-1 entre três entidades. Então você pode firmar um protocolo N entre cada duas delas. Esse protocolo N aqui, eu representei ele acima da entidade, mas significa que a entidade N da esquerda tem um protocolo N também, pode ter um protocolo N com a entidade N da direita. Não precisa necessariamente sempre passar pela entidade, digamos, no meio de comunicação intermediária.

39:45 - Palestrante Não Identificado Ok?

39:46 - Palestrante Não Identificado Professor, é o seguinte.

39:48 - Clodoaldo Callogero1 A camada, o protocolo OSE, o senhor diz que os protocolos pares podem usar o mesmo, desculpe, as camadas pares podem usar os mesmos protocolos. Agora, aquele conceito uma camada de enlace.

40:11 - Loreno O que eu falei é que existem protocolos de mesma ordem entre entidades de sistemas diferentes, mas provavelmente são protocolos diferentes.

40:25 - Clodoaldo Callogero Eu tinha entendido que, por exemplo, na camada de transporte eu poderia usar na camada de apresentação de exceção mesmo do protocolo, não é nada nisso.

40:40 - Loreno Na verdade, o exemplo que cabe melhor aqui é o protocolo IP. Imagina que a entidade N aqui é um nó retransmissor, por exemplo. Então, a entidade N da esquerda vai estabelecer um circuito IP com a entidade seguinte, que por sua vez vai estabelecer um circuito IP com a entidade destino e vai que a entidade de origem estabeleça um circuito IP como destino.

41:10 - Clodoaldo Callogero E quando o senhor chama de entidade...

41:14 - Loreno Entidade é a funcionalidade.

41:16 - Clodoaldo Callogero Na mesma hierarquia, por exemplo, na camada de apresentação? Ou eu estou misturando as coisas?

41:23 - Loreno Não, a entidade seria, por exemplo, protocolo IP ou protocolo TCP, por exemplo. Entendeu?

41:32 - Clodoaldo Callogero O protocolo...

41:33 - Clodoaldo Callogero Dentro da camada ISO, o protocolo IP, desculpa a ignorância mesmo, o protocolo IP está em que camadas? Camada 3. Ah, na camada 3.

41:45 - Loreno Nós vamos ver isso. Tá bom, então desculpa.

41:49 - Clodoaldo Callogero Até mais.

