Redes Privativas | Turma 1 
terça, 15/04/2025

0:00 - Palestrante Não Identificado Sim, perfeitamente. Perfeitamente. Claro.
6:15 - Fiap Convidado 114 Temos um grande aumento de importância relativa do setor de comunicações. Ou seja, o setor de comunicações deixou de ser só telefonia para passar a ser rede de dados, deixou de ser rede de dados entre pessoas para conectar coisas. Isso ampliou exponencialmente a utilização dessas redes de telecomunicações. A telefonia celular é um sucesso absolutamente retumbante, né? Nesse momento, por todo lado, milhões de pessoas estão ali conectadas no seu celular, em suas aplicações. Mesmo quem trabalhou com telefonia celular desde o começo, eu fui um desses, eu trabalhei no CPQD, no final dos anos 80, quando desenvolvíamos aí, quando acompanhávamos, né, desenvolvíamos sistemas brasileiros, mas acompanhávamos a telefonia celular pelo mundo, a telefonia celular, a telefonia celular, ela, ela superou qualquer expectativa que se pudesse ter dela. E isso, e isso faz com que ela tenha uma presença em todas as, praticamente todas as atividades humanas, a importância relativa aquela vez maior. A expansão da banda larga também. O Brasil hoje é um país bem servido de banda larga e a gente vai falar desse mercado de banda larga também, que é um tema muito importante também para as redes privativas. Assim como novos recursos tecnológicos de 5G. Que esses recursos são fundamentais para compreender as possibilidades dessas novas redes privativas, o que o 5G pode aportar, o que ele já aporta para essas novas redes e o que ele pode vir a aportar. E novas tendências tecnológicas. Um fator interessante é que cada geração tecnológica que se teve na história, cada geração trazia consigo tendências tecnológicas, tecnológicas que vinham junto. Então, assim, nesse momento, a gente vive uma importância grande, a gente vive um desenvolvimento grande de inteligência artificial e, por óbvio, que essa tecnologia, ela também apoia, suporta o desenvolvimento dessas redes que se faz. Assim como o cloud, assim como o SDN, virtualization. Então, assim, essas tecnologias atuais, elas ajudam, potencializam e dão sinergia para o desenvolvimento das telecomunicações. Também a gente vive no Brasil, e o Brasil é um case nesse sentido, a presença de novos provedores. Então, assim, além dos grandes provedores, como a vivo, como a TIM. Existem milhares, mais precisamente 20 mil provedores de porte menor, que conseguiram, conquistaram o mercado no ecossistema brasileiro de telecomunicações. Isso se deve a vários fatores, isso se deve ao empreendedorismo dos brasileiros, mas se deve também à carência, que a empresa Incubit, a Oi, teve problemas, entrou em recuperação judicial duas vezes, deixou de ter capacidade de investir e era a empresa Incubit no Brasil inteiro. Então, assim, essa dificuldade da empresa Incubit de realizar os investimentos potencializou a entrada de novos provedores. Agora, esses provedores não ficaram apenas nessa, tomando espaço que eles cresceram, muitos são provedores de médio porte hoje, cresceram bastante, e tem uma presença bastante importante, como a gente vai mostrar aqui para frente, e também podem ser parceiros bastante importantes dentro dessas estratégias de redes privativas que as empresas venham a adotar. Novos modelos de negócio e de operação de telecomunicações. Aqui a gente tem um ponto aqui bastante importante, a rede privativa entra aqui, é um novo modelo de negócio, é a empresa fazendo o seu próprio sistema de telecomunicações, que vai ter várias vantagens, isso vai ser extensivamente discutido, durante o curso, você vai ter privacidade, pode ter economia, dependendo do business case, vai ter privacidade, vai ter a construção com o timing e com os recursos, né, decididos pelo patrocinador e não por uma outra grande empresa terceira que está distante. Eu já fui gestor de uma, de algumas dessas empresas e diria que assim, que Não dá pra focar, essa grande empresa não consegue focar num pequeno negócio ou num negócio terceiro. Elas têm muitos departamentos, elas tentam ser o mais abrangente possível no mercado, mas, por óbvio, o dono do negócio, o dono do negócio, os donos do negócio, os gestores do negócio, vão ter um foco maior no seu negócio, nas suas necessidades, do que qualquer terceiro. Esse terceiro, particularmente os grandes, tem uma especialização notável, tem um poder de investimento bastante relevante. Os modelos de operação de telecomunicações também estão desenvolvendo bastante, e rede privativa é um modelo de operação bastante diferenciado, a gente vai explorar isso um pouco. Tá bom, redes privativas é uma outra tendência.

12:47 - Aurelio Barrile Junior | Fiap Convidado 114 Só um pouquinho gente, pronto.

12:50 - Fiap Convidado 114 Existe estudo do IPEA, recomendo bastante, e a referência tá aqui nesse slide. Existe estudo do IPEA que mostra que o aumento de 1% de conectividade representa 0.19% aumento do PIB. E existe um estudo da ITU, que também está referenciado aqui, que mostra que o aumento de 10% da conectividade fixa, esse estudo foi feito para a América Latina, que um aumento de 10% representa o aumento do PIB de 1.9%. Então assim, conectividade é desenvolvimento veia, seja para negócios, seja para negócios, seja para países, continentes. Então, é claro que isso aqui é um número obtido dentro de um estudo muito bem elaborado, no caso desses dois aqui, e que representa um determinado cenário. Essa importância relativa pode ser muito maior, muito dependendo da especificidade do negócio. Mas o que é garantido? Garantido. É que esse aumento de conectividade potencializa negócios, potencializa a economia associada. Então assim, hoje, falando de contexto, né? Hoje nós estamos vivendo um contexto em que a gente tem presente mobile network operators, né? Nós temos grandes empresas com cobertura grande empresa, estou falando aqui da Vivo, estou falando da TIM, estou falando da Claro, com cobertura nacional, serviços que prestam serviços semelhantes, 2G, 3G, 4G e com o 5G avançando, o lançamento já foi, já está consolidado o 5G, a gente vai mostrar essa consolidação, mas o 5G também é uma tecnologia muito importante, já é importante. Vão ter MVNOs, Mobile Virtual Network Operators, que ainda são pouco relevantes. Estão crescendo, mas ainda tem dificuldades de crescimento em função de bitributação, em função de dificuldade de obtenção por parte das grandes empresas, do airtime por conta das grandes empresas. Claramente pode desenvolver bastante ainda. Existe grande barreira de entrada para novas empresas, custo de espectro, alto CAPEX, regulação, obrigação. E o futuro, eu diria que já presente futuro, é o conjunto, é as grandes empresas que continuam existindo e sendo as mais importantes por muito tempo, porque a mobilidade, a mobilidade e o homing são as bastante importante, e quem tem uma planta nacional, tem vantagens competitivas muito importantes. Mas vamos ter MVNOs cada vez mais importantes, ISPs, né, International Internet Service Providers, né, que são os pequenos provedores, cada vez mais importante. Essas empresas têm uma taxa de crescimento bastante elevada. E aí vamos ter empresas grandes, médias, grandes e pequenas, com cobertura nacional, regional, especializada, vários novos serviços, serviços customizados, atendimento a novas verticais, 5G cada vez mais relativamente importante, novas faixas nacionais, regionais, sessão, um capex mais modular, porque o capex dessas empresas grandes são da ordem de bilhões de dólares. Então, assim, eu quando era responsável por uma dessas, eu tinha um orçamento, um capex de 2 bilhões anual, 2 bilhões de dólares anual. Isso é um capex que poucas empresas, poucas empresas, poucos conglomerados podem investir no Brasil, mas esse capex tende a se tornar muito mais modular e muito mais acessível. E as regras tendem a ser mais flexíveis também. Acho que a Natel trabalha de uma forma muito positiva para, cumprindo seu papel, de fazer com que o mercado seja competitivo. E vamos ter redes privativas. Vamos ter rede privativa de uma forma cada vez mais importante. Nesse ponto, alguém gostaria de fazer uma contribuição? Questão, comentário, pergunta. Tá bom. Oi, oi, professor.

17:47 - Palestrante Não Identificado Pois não, pois não.

17:49 - Fiap Convidado 114 Sim, desculpa, eu cheguei atrasado, eu gostaria de fazer uma pergunta nesse sentido.

17:57 - ANTONIO ADADE DE CASTRO BATISTA Como que, como que o contexto de, dos espectros, do espectro SMP, né, lá na faixa de 1,7 GHz, ele é visto para fazer redes privativas outdoor. Como que vocês enxergam isso, por favor?

18:16 - Fiap Convidado 114 A gente vai entrar nesse item um pouquinho mais para frente, falando especificamente dessas faixas de frequência. Eu entendo que esse espectro é um espectro onde você tem banda, onde você tem uma faixa para fazer uma transmissão banda larga bastante eficiente, mas eu diria que espectros mais baixos são muito mais eficientes do ponto de vista de cobertura. Então, assim, se você precisar de banda e puder ter espaço de cobertura pequeno, por exemplo, a tua empresa ali, dentro da tua empresa, do seu galpão e tudo mais, é uma faixa que dá para ser pensada. Agora, se você quiser mais eficiência nessa essa transmissão, mas penetração em dó, aí teria que pensar em faixas mais baixas. Mas, repetindo, a gente vai entrar nessa discussão de faixa um pouquinho na frente. Aqui, falando do conceito celular, um conceito muito básico, gente, que é o seguinte, de onde veio esse nome celular? Esse nome celular, veio de você, o colega fez uma pergunta do espectro, né? Pô, vamos usar esse espectro? Sempre, o espectro é um bem, é um recurso natural escasso e você tem que reutilizá-lo pra você conseguir, pra você conseguir ter uma eficiência nessa utilização. Então, assim, o sistema celular nada mais é do que você dividir uma determinada região geográfica, uma determinada região geográfica, em células, e nessas células você usa determinada frequência. Às vezes, em determinadas tecnologias, se utiliza a mesma faixa de frequência, e aí o que muda é a codificação. Mas, como conceito mais básico de todos, o celular veio disso, da divisão de uma região em células. Para que essa divisão? Para você maximizar Então, você usa um grupo de frequência B aqui. Esse outro grupo de frequência, você vai usar lá adiante, onde você tem uma determinada distância, de tal forma que, com a distância, esse nível de RF, esse nível de potência, ele cai e deixa de atrapalhar a outra célula que está utilizando essa mesma faixa de frequência. Então, o conceito é esse. Célula é isso. Segmentada, onde você usa um determinado conjunto de frequências ou códigos. E aqui, tem um exemplo bem didático, falando de frequência. Ah, você tem frequência aqui, a frequência do Dayum aqui, do rádio FM, na faixa de 100 MHz. Mas você vai aumentando a frequência, à medida que você aumenta a frequência, essa cobertura diminui. Ajudando nessa resposta do colega, né? Ele falou, ó, três e meio. Três e meio tá aqui, ó. Três e meio tá distante, né, desse centro. Três e meio, na verdade, é uma frequência que, próximo à estação rádio base, ele vai ter uma ótima faixa, um ótimo nível de serviço. Se distanciando um pouco, ele ele deixa de ser eficiente, porque o nível de potência vai cair bastante, cai com a frequência. E aí quando você vai para as frequências mais baixas, que são utilizadas, 1.8, 2.6 ou 700 MHz, que certamente, certa e claramente, é a frequência mais nobre que existe para a propagação celular, por que é a frequência mais nobre? Por que é mais nobre que 450 MHz? Por que é mais nobre que 3,5? Por que é mais nobre? Porque é uma faixa de excelente propagação que o mercado americano usa extensivamente. O mercado americano usa extensivamente, fica garantido ali o uso de um ecossistema de terminais e soluções. Por exemplo, o mercado americano usa muito para o agro os 700 MHz, então existe uma infinidade de uma infinidade de dispositivos em 700 megahertz para o agro, uma infinidade de máquinas que são preparadas para 700 megahertz. Aí você vai para 450. 450 megahertz, as operadoras no Brasil tinham essa frequência e tinham muita dificuldade em utilizar. Por quê? Porque é uma frequência que não é na Europa já foi muito importante, deixou de ser muito importante, então pouca gente desenvolve sistemas em 450 e com isso, com a baixa disponibilidade de devices, de equipamentos em 450, essa faixa, que é uma faixa de excelente propagação do ponto de vista físico, é menos importante, é muito menos importante, tem um ecossistema muito menos resolvido do que a faixa de 700 MHz. Alguma questão aqui, pessoal?

23:49 - Palestrante Não Identificado Ok, obrigado.

23:50 - Fiap Convidado 114 Aqui, pessoal, estou colocando um mapa real aqui de cobertura. Então, aqui você tem aqui um mapa de propagação do sinal celular, né? Então, você tem aqui o mapa... Isso aqui 150 megahertz, você tem ali que na área verdinha tem um excelente sinal, tem um excelente sinal na área verdinha, você vai ali para a rosa, já cai um pouco, o amarelo já cai, já vai ter muita dificuldade de comunicação em dó, então assim, a partir da sua estação rádio base, você tem um nível de sinal e saindo dessa estação rádio base, esse sinal esse sinal vai caindo, e à medida que vai ficando mais distante, esse sinal piora bastante. Então assim, quando vocês estiverem estudando ali uma aplicação de uma rede privativa, esse estudo aí vai ser muito importante. Saber para onde que vai o sinal, em função desses níveis aqui, você consegue determinar se vai ter serviço indoor ou não, porque serviço indoor vai cair lá 10, 20 db ali, quando você entra dentro de edifício, dependendo de como é a construção. Então, assim, a partir desses mapas, que as operadoras desenham a sua rede, desenham a sua rede e determinam se vai ter serviço, se não vai ter serviço em uma determinada região. Então, isso é uma coisa importante. Então, aqui a gente vê esse conceito, né, de planejamento, que você tem lá a sua altimetria, tem a sua tecnologia, porque a vegetação, a vegetação ela absorve muita radiação, a radiação de tal forma que ela bloqueia essa transmissão desse sinal, e você tem que a água reflete, e aí essa reflexão pode ser uma reflexão destrutiva. Então, tudo isso precisa ser analisado na região de atendimento, todos esses aspectos de de morfologia, tem que ser analisado. O Brasil, por exemplo, tem uma cobertura pequena do ponto de vista de área territorial, tem muita vegetação, isso é uma limitação ali clara. Ela tem um relevo que em muitos estados é bastante montanhoso, isso também limita bastante essa propagação. E como vocês podem ver aqui, Nesse desenho, com esses vários níveis, tem ali o relevo, a morfologia, essas predições de cobertura, essas predições de cobertura são feitas por software especializado. E depois desse software especializado rodar, são feitos drive tests e também aquisição de dados de clientes. Também é feita a aquisição de dados de clientes esses dados reais realimentam o modelo, e aí você tem esse desenho, essa previsão, essa previsão de cobertura. Então, tipicamente, as empresas sabem onde o sinal é bom, onde o sinal é ruim. E onde o sinal é ruim e pode não ter densidade que justifique ampliar essa cobertura, ou pode acontecer também, pode acontecer também de ter dificuldade de conseguir sites. Conseguir o que são sites? Sites são os lugares físicos onde se colocam esses transmissores em cidades grandes. Isso é uma questão difícil, tem toda uma regulamentação ali associada e não é muito fácil a obtenção de novos sites numa cidade. Uma cidade como São Paulo, Campinas, qualquer cidade grande, seria muito difícil um novo fornecedor, um novo provedor de serviços, que não pudesse compartilhar o que já existe, o que já existe, tanto das operadoras, como das tower companies, das empresas especializadas em torres, né? No passado, cada empresa tinha sua torre, é muito comum andar tanto pelas cidades como em estradas e ver três, quatro torres juntas, essa tendência se reverteu porque as empresas deixaram de considerar essa estrutura física como um diferencial competitivo e passaram a considerar isso como um problema. O problema tem que gerenciar essa estrutura. Elas venderam, na sua maior parte, essa estrutura física para empresas especializadas, chamadas Tower Companies. E esses exemplos dessas empresas, a QMC, a American Tower, que é a líder no Brasil, líder nos Estados Unidos, que são empresas que compram essa torre e alugam de volta para as operadoras, e para outros interessados em utilizar. Isso fez com que esse mercado de infraestrutura ganhasse mais dinamismo. Tempos atrás, cerca de 10% do capex das empresas era utilizado em infraestrutura. Cerca de 10% era utilizado para... 10% era bastante dinheiro. Imagina, 2 bilhões, 200 bilhões de dólares. Cerca de 10% era usado para isso. Atualmente, não. Geralmente, as empresas chamam uma Tower Company e falam, eu preciso de um site em tal lugar. Essa empresa vê a viabilidade, que viabilidade? De alugar para mais de um, né? Porque só um não paga a conta. Então, essa empresa vê a viabilidade e essa empresa constrói essa torre. Então, isso é um elemento também que quando vocês estiverem pensando, planejando, uma rede privada. Essa questão da infraestrutura tem que ser bem pensada e pode ter parcerias com empresas como essas de torre. Isso pode ajudar na viabilização do negócio de uma forma importante, porque a infraestrutura, a falta de infraestrutura, de energia, também inviabiliza coberturas, inviabiliza inviabiliza negócios. Comentário, gente, sobre planejamento de rede? Ok. Tudo certo. Ok. O conceito básico aqui é downlink e uplink, né? O link que sobe do seu terminal pra base é o uplink, né? E o link que desce é o downlink. Então, você tem sempre você vai ter essas duas direções. Direção de subida do sinal e a direção de descida do sinal. É um conceito da UPLINK. Aqui é um mapinha interessante que ajuda um pouco a entender que à medida que você se afasta da estação rádio base, não é só que você deixa de ter cobertura. Você vai deixar de ter cobertura uma hora. Como mostramos lá atrás, uma hora você vai ter o sinal que está muito fraco e ele não consegue ser recuperado. Só que não é só isso que acontece. O sistema móvel é quase um milagre a transmissão de sinais por rádio frequência no modelo de telefonia celular. É brincadeira dizer que é quase um milagre, mas assim, é preciso de muito recurso, é preciso de muita tecnologia para esse negócio todo funcionar. E aí uma coisa que é importante é assim, quando você está perto do seu transceiver, da sua estação rádio base, do seu transceiver, você pode ter um esquema de codificação, mobile code scheme, um esquema de codificação, de tal forma que você tem mais dados e menos correção. E à medida vai se distanciando, você vai precisar ter muita correção e menos dados. Então, você vai gastar o seu quadro com correção de erros, com esquemas de codificação que permita você falar mais distante, só que isso tem um preço. Vocês conhecem, vocês estão ali com o seu terminal 3G, 4G, vocês estão numa região aí, a taxa de dados é muito mais baixa. A taxa de dados despenca. E não é só a distância que faz essa taxa de dados piorar, que faz você ter que mudar de esquema de codificação. É também os nossos coleguinhas. Tipo, o resto das pessoas que usam. Porque as outras pessoas, usando essa utilização, essa utilização prejudica, né? Consome recursos, consome recursos e faz com que você tenha que trocar de esquema de codificação, e em função dessa troca desse esquema de codificação, você vai ter uma taxa de dados pior. Em voz você tem uma degradação de voz também, você tem falhas na voz, sinal cai, volta, e o sistema ele tá o tempo procurando ajustar, se ajustar para poder prestar o serviço. Mas ele tem dificuldade, porque o meio móvel é hostil. Se alguém ligar o carro, por exemplo, o ruído de ignição dá interferência. Só para dar um exemplo. O que eu quero dizer é que existe uma diversidade de ruídos que interferem e o sistema tem que ficar procurando uma forma de atender o usuário, E, tipicamente, isso, essa forma de atender em condições mais hostis, significa mudar os esquemas de quantificação de tal forma que o serviço piore na qualidade, piore na taxa de transmissão de dados.

34:39 - Palestrante Não Identificado Falando de evolução tecnológica.

