Redes Privativas | Turma 1 
sexta, 25/04/2025

0:07 - Carlos Batista Parece ter sido uma falha momentânea, que logo em seguida eu consegui, entendeu?
5:08 - Gabriel Theodoro Eu ouvi vocês perguntando agora há pouco, estou colocando o link aqui, ó, para todas as aulas que o Fernando falou, ele colocou lá gravado. É escrever aqui.

5:19 - Clodoaldo Callogero É clicar nesse link e já abre direto onde está as aulas gravadas. Ah, legal. Você sabe por quanto tempo a gente teria acesso a essas aulas? É só enquanto curso?

5:31 - Gabriel Theodoro Isso daí é pergunta universitária. Fernando, dá um help pra gente aí, Fernando.

5:36 - Fernando Hansel Coitado dele.

5:37 - Fernando Hansel Cara, eu não tenho certeza de data, mas normalmente fica liberada por um momento assim, então acho que não precisa se preocupar com isso agora não, tá?

5:47 - Clodoaldo Callogero Ah, então tá bom. Então tá bom, porque ela é muito grande pra gente gravar de novo a gravação.

5:55 - Clodoaldo Callogero Não, não, sim.

5:56 - Fernando Hansel É que funciona como se fosse um driver mesmo do Google, né? Então vai botar lá, então o link acho que vai funcionar até ser tirado o arquivo de lá, mas não vai ser tirado, então fiquem tranquilos.

6:14 - Palestrante Não Identificado Tá bom, obrigado, Fernando.

6:16 - Clodoaldo Callogero Enquanto o professor não chega, ô Carlos, eu vi seu currículo, você também é, eu vi que você foi da Telérgica, Opa, tempos bons, rapaz.

6:30 - Carlos Batista Sim, da estatal Telesp.

6:32 - Clodoaldo Callogero Rapaz, eu trabalhei aqui na Telesp e participava de uns grupos de trabalho, mas pelo que eu vi, você é mais novinho que eu também. Isso foi em 93, 94, da implantação da sinalização número 7, você lembra?

6:55 - Carlos Batista Lembro, lembro, mas eu trabalhei na operação e manutenção das centrais Penta Conta PC-1000B. Comecei em Ipanema, trabalhei em Arcos, Leblon, Alvorada, aí depois fui para a implantação, trabalhei em Alcatel também. Ah, você foi para Alcatel depois? É, trabalhei em Alcatel, depois privatizou, aí fui para a planta da BRT, está lá o Isão V, né? Que nas centrais 4KT, Batixas, TACS, substituímos com uma solução híbrida, com híbrido de seduto, que é a NGN, da Ocatel, com o equipamento VoIP e Zanvi. Depois passei pela Huawei.

7:42 - Carlos Batista Então, Interleague, TIM...

7:44 - Carlos Batista Então, você está bem mais atualizado do que eu.

7:50 - Clodoaldo Callogero Você parou de trabalhar? Não, não, não.

7:54 - Carlos Batista Eu trabalho ainda hoje, sou coordenador de rede de implantação backbone da Vivo, né? Ah, da Vivo?

8:02 - Palestrante Não Identificado Isso.

8:02 - Carlos Batista Construí 358 quilômetros do Acre até Rondônia. Construí Mato Grosso de cárceres a Porto Coné, cárceres a Teatra Putanga. Coordenando em Peiteiras, equipe de lançamento, fusão, instalação de equipamento. Trabalhei em SWAP 3G também, na Bahia. E aí vai, né? Tô aqui nesse desafio aí, tô querendo entrar pra área.

8:25 - Clodoaldo Callogero Porque eu viajo muito, né?

8:27 - Carlos Batista É, é. Sou vovô já, também, então...

8:29 - Clodoaldo Callogero Ih, Gabriel, olha, eu ia fazer essa provocação. Gabriel, você tem que fazer bula em cocailos também, viu? Porque eu posso ser o mais velhinho aqui, mas tem mais um na fila aqui, ó.

8:41 - Carlos Batista Eu ganhei o dia com você hoje, me chamou de novinho, tem o 5.3, tem o 5.3, 35 anos de CLT, como empreendedor e por aí vai. Vamos para cima, né? Agora, o sonho é concluir esse curso e tentar virar a chave para novos desafios.

9:01 - Clodoaldo Callogero Para mim, foi uma boa oportunidade de atualizar.

9:04 - Carlos Batista Finalizar com um comentário, se você tem ideia, meu pai trabalhava na Antiga Teresa também e, hoje, minha filha trabalha na TIM.

9:14 - Clodoaldo Callogero A família é telecomunicante, então. É verdade. Como aguardou o mestre de guarda.

9:53 - Gabriel Theodoro Oi Yuri, eu encontrei os PDFs gravados, os PDFs que eles fizeram o upload, eu não encontrei os vídeos. Se encontrou os vídeos, sobe aqui para gente também.

10:05 - Gabryel Nóbrega aqui no chat os PDFs. No canal, dá para clicar em canais e cargos e conferir canais. E aí, você consegue ver os canais que geralmente estão ocultos.

10:24 - Gabryel Nóbrega Aí tem as gravações da aula e tem o material dentro da aula. Dá um e dá dois.

10:36 - Gabriel Theodoro Pode ser que esteja oculto, pode ser que esteja oculto o canal.

10:44 - Palestrante Não Identificado Tô fazendo isso agora aqui já, já.

10:49 - Palestrante Não Identificado Tô indo lá atrás.

10:51 - Palestrante Não Identificado Boa noite, professor Loreno.

10:54 - Carlos Batista Se você estiver falando, a gente não está escutando, tá?

11:00 - Carlos Batista Seu microfone está mutado.

11:07 - Carlos Batista Esse detalhe importante que o colega acabou de falar aí, tem essa configuração do desporte pra fazer, né?

11:15 - Loreno Tudo bem, pessoal? Podemos começar?

11:17 - Carlos Batista Boa manhã.

11:18 - Whibero Bom, professor, tudo bem? Boa noite.

11:20 - Loreno Boa noite, podemos sim. Tive dificuldade pra entrar no Teams aqui, acho que o link não tava correto. Mas agora deu certo. Tá bom?

11:35 - Loreno Oi, professor.

11:36 - Loreno Isso. Bom, vamos lá? Então, hoje a gente tem dois assuntos para ver. Os casos de uso da rede privativa e eu gostaria de também responder algumas perguntas que ficaram da última aula. Começamos por onde? Qual a sugestão de você?

12:09 - Clodoaldo Callogero Professor, eu não sei se a gente vai ver um pouco mais para frente, mas, como o senhor sabe, eu estou um pouco desatualizado. E aquela integração do DHCP e o DNS, para mim, a gente vai ver mais para frente isso, Não, a gente pode detalhar, mas em suma... Se atrapalhar algo, professor, eu consegui a ajuda do Gabriel hoje, eu vou ler o material aqui.

12:47 - Loreno Não, então pode tentar ler esse material. Mas ali eu fiz um resuminho do que é cada coisa, tá? Tá, ok.

12:58 - Loreno Bom, vocês estão...

12:59 - Loreno ou precisa interagir aqui. Sim. A próxima... A próxima... Eu mudei o item para ver. Vocês mudaram também, né? Não, professor. Tem que colocar em tela cheia, tela cheia. Está em tela cheia.

13:16 - Carlos Batista Para a gente não está em tela cheia, professor.

13:20 - Loreno Está na sua tela normal. Então, desculpe que vamos ter que começar de novo. Tá bom. Eu tentei colocar em tela cheia, depois não funciona. Primeiro tem que colocar a tela cheia no slide. E aí... Peraí. Meu Deus, pronto, vamos ver. Então vai ser assim, ó. Vocês estão vendo, né? Vamos tentar fazer um share. Vou fazer com a... Professor, eu não sei se o senhor compartilhou a tela, na minha tela não está aparecendo o teu compartilhamento, nem que o senhor estava lançando nada.

14:28 - Palestrante Não Identificado Aqui também não.

14:30 - Loreno Vou compartilhar agora. Estão enxergando a tela, né? Sim, ainda não está em tela cheia.

14:38 - Gabriel Theodoro Não sei se o senhor já colocou.

14:41 - Loreno Agora eu vou botar em tela cheia.

14:45 - Clodoaldo Callogero Foi para tela cheia?

14:47 - Loreno Ainda não.

14:48 - Loreno Professor, eu acho que está acontecendo aquele problema de você estar Eu vou fechar as outras telas aqui. Primeiro que tinha uma tentativa de... Segundo que a gente pode tirar esse aqui também. Bom, esse aqui eu... Vai na opção janela, né? É isso? Ou na opção ItaScreen?

15:33 - Palestrante Não Identificado Janela.

15:33 - Loreno Aí?

15:34 - Fernando Hansel Seria em toda a tela, na verdade.

15:39 - Palestrante Não Identificado Toda a tela?

16:11 - Fernando Hansel Estão enxergando?

16:13 - Loreno Bom, agora sim.

16:14 - Loreno Então eu vou aumentar aqui. Vou dar o... Agora tá a tela inteira? Agora foi. Então tá bom. Então é isso. O que a gente tem pra ver, em termos do programa de aulas, é isso aqui. As tecnologias, as verticais, os casos de uso. Tecnologias é um sumário, por que está se usando 4G e 5G. E as verticais, os casos de uso no Brasil. Na verdade, eu vou tratar pouquíssimo dos casos de uso no mundo, vai ser mais do Brasil mesmo. E no final, eu tentei responder as perguntas. Então, não sei se vocês preferem que eu Lá para o final, e a gente tenta ver as perguntas que ficaram em dúvida. Tem duas perguntas aqui. A questão dos benchmarks entre 4G e 5G, que estava pendente, eu fiquei de fornecer o material, e também tinha a questão do controle de fluxo na internet. Vamos primeiro passar para o controle de fluxo na internet. O controle de fluxo na internet, eu não sou especialista em internet, camada 2, eu estudei camada 2 do HDLC e também da assinatação número 7. Então nunca estudei a camada 2 da internet. Eu tenho noção do que é porque eu já tenho vivência da camada 2 em outros protocolos e também porque Por exemplo, o protocolo 11n, que a gente já publicou o artigo, ele passa pela camada 2. Então necessariamente você tem que ter alguns elementos para ver um pouco da EFMED. O que eu consegui levantar na pesquisa é isso daí. Existem vários tipos de controle de fluxo. Um é o uso da premissa, da primitiva pós. Esse pós é usado, o receptor que está sobrecarregado, que o buffer está cheio, ele manda um pós para o transmissor. Fala, para aí que eu não estou aguentando. E aí o transmissor refreia a transmissão até que o receptor diga, pode recomeçar.

18:50 - Palestrante Não Identificado Resume.

18:50 - Loreno Outro critério é o controle de fluxo, baseado nas prioridades. Anteriormente. Então, tem algumas EPNerts que fazem um controle de fluxo com base na prioridade. Então, estabelecem prioridade e se está havendo congestionamento dos buffers, eles diminuem o fluxo, diminuem a recepção, ou a transmissão de mensagens desse tipo, ou recepção. O controle de fluxo que eles chamam de assimétrico, que é o pós dos dois lados. Eu acho que é um razoável. E existe o fluxo simétrico que pausa todo numa direção só. Agora vamos falar um pouquinho dos benchmarks de desempenho O primeiro ponto é que a gente sempre recai nessa questão das narrativas. Porque sempre que tem duas tecnologias se confrontando, uma velha e uma nova, acontece necessariamente que a velha joga pedra no caminho da nova direto. Então, não sei se vocês acompanharam isso, mas não é só a tecnologia que joga, na verdade, os interessados, os players daquela tecnologia antiga começam a jogar a pedra. Você falou que era, quando o Alto falou que era o tempo do TDMA, o TDMA jogou, descarregava caminhões de pedra na frente do CDMA, falavam que o CDMA era uma porcaria. Isso aí havia direto, eu fui numa conferência, aí você morre de de ver os caras. O cara que estava criticando, amanhã ele pega o negócio. A Erickson, por exemplo, é uma que criticava o CDMA. Até que ela comprou a parte da Coca e fazia CDMA. Aí ela passou a fazer propaganda do CDMA. Bem simples, né?

21:08 - Loreno É isso que acontece.

21:09 - Gabriel Theodoro Professor, uma pergunta nessa linha tua. Eu, na época, trabalhava com Speed quando houve a... O lançamento da fibra e mudou tanto em velocidade quanto em custo. Eu lembro que o Speed você tinha 1 mega 80 reais, fibra você pagava 30 megas, na época 50. Era assim, o pessoal trabalhava com venda e até ficaram milionários nisso. A questão é, houve uma lacuna, um curto período de tempo que dava para fazer vários business nessa transição. Nesse momento que a gente está hoje, dentro de rede privativa. O que o senhor vê que são os próximos mercados que vai ter essa transição, similar ao que eu presenciei naquele período, para a gente ficar de olho, para ver negócios, ver oportunidades?

21:57 - Loreno Olha, eu imagino que, por exemplo, até 2030, vai se falar muito do 6G, entendeu? E aí, quando surgiu o 6G, até um dos artigos que eu pesquisei, ele faz um comparativo entre o 6G e o 5G. Mas ele faz um comparativo é uma chinesa, na verdade, que ela faz o comparativo de dados previstos. Eu até achei que eram dados reais, mas é o que está especificado. Aí a especificação é que o 6G é dez vezes melhor que o 5G em termos de throughput, latência, essas coisas assim. Então, no meu caso, é ficar de olho nessa transição de 5G Isso, com certeza. Obrigado, professor. E a própria transição, eu acho que a transição do 4G para o 5G já é uma realidade. Então, com certeza, se alguém te oferecer 4G em vez do 5G, você tem que desconfiar, certo? Pelo preço, pelo preço anterior, principalmente. Bom, aqui, Aqui eu comentei que eu dou preferência para experimentos acadêmicos, porque em tese a academia é menos afetada, mas não é besteira, ou melhor, seria bobagem dizer que ela não é afetada. Mas eu acho que ela é menos afetada do que o cara que está fabricando a rádio base, por exemplo. Então, eu peguei um estudo em 2019. Então, antes do 5G entrar propriamente dito. E ele chama de... É um estudo feito pela Qualcomm, onde eles fizeram pesquisas... Estão me ouvindo bem, né?

23:53 - Palestrante Não Identificado Sim, sim. Sim, eu vendo sim.

23:56 - Loreno ...comendado por uma empresa chamada Signals Research Group, tá? E fizeram na Coreia do Sul, na Grã-Bretanha, na Suíça, em vários lugares, e nos Estados Unidos. Então eu peguei os números deles aqui para a gente dar uma olhada. Tá bom? Aqui, por exemplo, a afirmação dele é isso aí, que 5G dobra a capacidade média E tem 10 vezes mais performance que o 4G. Isso aí é obtido com base em dados mesmo. E aí você vai ver que ele tá falando de obteve 260 MB, 220 em Londres, 234 na Suíça, quase 400 nos Estados Unidos. E na Coreia teve um ganho de 260%, na Suíça de 150%. Isso aí está no link lá. Aqui eu achei bem interessante também. As ondas milimétricas ou menores, elas penetram mais nas coisas, então elas permitem uma resiliência maior. Então ele pegou aqui duas medidas, uma em line, line of sight, e a outra off sight. Line of sight quer dizer e o off-site quer dizer que tá fora de linha. E aí olha o desempenho aí, deu 600 mega ou até 1.2 giga de velocidade, de média de 900. E quando não está em linha, deu 200. Mostrou até a posição das redes, Agora, qual é a experiência que o usuário tem? A velocidade que o usuário percebe. Então, com a Netflix, ele conseguiu pegar lá 453 MB. Então, assim, muito maior do que a do 4G, que era quatro vezes maior, cinco vezes maior. Com o Google Drive, pegou 114 MB. E com o Google Play, 150 MB. A questão do tempo de duração das baterias também deu uma diferença grande. Então, para o consumo de 92 GB no LTE, você tem um tempo de duração de 20 mA por hora. E no 5G você tem 62 mAh por hora. Deu uma diferença grande. Agora eu vou contar um experimento meu, pessoal. No ano passado, pelo Teleco, a gente fez uma medida numa cidade lá no interior da Bahia, cujo fornecedor era julgando de luminárias. Então não era a Rádio Básica, eram luminárias intermediárias. Inteligentes que tinham 5G e Wi-Fi. A Luminar não tinha 4G, 4G era da prestadora local, mas tinha essas duas funcionalidades aí, 5G e Wi-Fi. E o resultado que a gente obteve em média, a gente calculou, também obteve latência e tudo, foi nessa ordem aí, o 5G ficou entre 300 e 400 mega, Wi-Fi ficou e o 4G estava lá com 40 mega. Esse Wi-Fi era novo, Wi-Fi 11ac, que a gente chama de Wi-Fi 11, Wi-Fi 5. Eu não sei nem se tem muito implantado esse sistema. Por exemplo, eu aqui na minha casa não tenho, só tenho 11m. Então dá uma diferença grande, né? E por aí vai. Aqui, não sei se eu passei essa figurinha com vocês, ele está mostrando o 4G e o 5G. Então dá uma diferença grande. 900 para 58, 730 para 32. Bom. Vamos voltar para o assunto da aula, então.

28:50 - Palestrante Não Identificado Bom.

28:50 - Loreno Uma coisa, uma advertência que eu tenho que fazer é que eu estou usando direto aqui as figuras que estão apresentadas no relatório de redes privativas da Peleco. Bom. Agora vamos discutir um pouquinho, né? Por que está se usando 4G e 5G? A gente mais ou menos já comentou sobre isso, mas basicamente é o seguinte, algum protocolo, de alguma forma, tinha que atender as redes corporativas, então se atendia com Wi-Fi, Fibra, ZigBee, etc. Agora, essas redes podem ser, por exemplo, uma rede fibra. A rede fibra tem um desempenho excepcional, só que ela é bem localizada dentro da empresa. É uma rede fixa, não é uma rede móvel, não é uma rede que você possa levar para uma mina, por exemplo. Levar a fibra ótica para a mina, porque a mina vai destruir a fibra ótica em pouco tempo. Ou que você possa levar para uma plataforma de petróleo, entendeu? Mas a fibra é, sem dúvida, uma tecnologia bastante útil e bastante usada. Então, agora o que está acontecendo é que essas tecnologias mais comuns, Wi-Fi, etc, estão sendo substituídas por redes 4G ou 5G. Depois eu vou mostrar mas tá uma febre, todo mundo tá trocando para 4G e 5G, entendeu? Não é só uma empresa isolada ou outra. E os motivos são esses aí, maior velocidade de download e upload, uma cobertura consistente, inclusive em ambientes internos, 5G interno funciona muito bem, a latência é menor, menos interferência, porque tá usando uma parte do espectro, licenciado, maior segurança, flexibilidade, escalabilidade e, principalmente, suporte a aplicações de missão crítica. Quando você precisa de tempos reduzidos, quando você precisa de latências reduzidas, quando você precisa de taxas elevadas, por exemplo, robôs, robôs, drones, tipicamente você vai precisar de uma rede privativa 4G ou 5G. Além da integração da rede privativa, com processos localizados nas EDs, como data analíticas, ativos, inteligência, etc. Então, assim, tem uma série de vantagens em usar isso daí. Bom, aqui é uma comparação entre tecnologias aí, tá? E vamos ter essa comparação, mostrando as diversas alternativas aí. Então assim, 4G, talvez permite até 1 Gbps, né? E o 5G até 20 Gbps. Mas o Wi-Fi, até 3.5 giga, Wi-Fi 6, 9.6 giga. Uma coisa que eu esqueci de comentar lá naquela questão das narrativas, é que assim, que nem o nosso caso lá que eu citei, no interior da Bahia, lá que a gente testou as luminárias da Julgando, né? Tudo depende, as coisas dependem muito da configuração que você no seu topo. Então a gente estava tendo uma configuração de 4G que era a configuração da prestadora, que não estava dando a mínima e estava com a configuração avançada do 5G que a luminária estava prestando. A luminária não é uma rádio base, o desempenho é muito pior, mas estava com uma configuração no seu topo, então por isso que estava uma performance tão boa no 5G, e o 4G, por sua vez, que é atendido pelo emprestador da cidade, estava com um desempenho que deve ter, normalmente, 40, 100 MB. Bom, então, a velocidade de upload também é elevada, quase do Wi-Fi não é medido, A latência, obviamente que o 5G também é um milissegundo, porque o artigo que eu vi do 6G, ele comentava que a latência do 6G é 0,1 milissegundo. Dez vezes menor também. Então realmente é avançado. E a capacidade, a gente já viu isso no tutorial de 5G. A capacidade por quilômetro quadrado, é muito maior no 5G. O alcance, o 4G e o 5G têm o mesmo alcance, porque usam o mesmo tipo de tecnologia. Uma pergunta, você sabe qual é a latência do 5G hoje na rede aqui do Brasil? Eu não sei exatamente, mas tem que estar a latência do plano de controle da ordem de 20 milissegundos. No plano de usuário, da ordem de 5 milissegundos. Esses são os números que o 5G alega. Tá bom? O alcance. Já o alcance do Wi-Fi é baixíssimo, 45 metros. 100 metros. A gente fez um teste extensivo com 11 e ele uma vez, e assim, a 100 metros você já não pega ele. Mesmo livre, mesmo estando só a antena e você na rua, você não pega ele. Mas começa a pegar a partir dos 100 metros. Então 90 metros, 80, Mas o alcance ideal é entre 45 e 100 metros. A mobilidade. Então também o 5G tem uma mobilidade melhorada. E a mobilidade do Wi-Fi é baixíssima. No máximo 5, 10 quilômetros por hora, que é a velocidade de passos. Então aí ele tá comentando que o Wi-Fi 6 seria uma opção boa também pra redes privativas e indoor. Mas quando você vai pra rede outdoor, que é o caso de minas, fazendas, etc, usinas, aí o 4G e o 5G dão de lavada. Bom, como é que a arquitetura da rede primativa. Então tem diversos dispositivos de usuário, aqui eu botei, não só dispositivos de escritório, mas também botei um robozinho aqui para mostrar que inteligência artificial, IoT, vale tudo aí, né? Principalmente sensores, tudo, né? Mas eu não quis, não tinha uma figurinha no vídeo disso daí, aí eu usei esse robozinho aí. Mas E a topologia é essa daí. Você tem uma RAN, uma Radio Access Network, você tem o core da rede e tem os dados da empresa, que aí é o sistema corporativo da empresa. Que daí, possivelmente, para ela poder usar bem esses dados, ela vai ter que ter analytics, aplicativos de automação. Façam essas análises aí. E, eventualmente, ela tem um gateway que pode pegar a informação diretamente e jogar nesses aplicativos que interessa. Sendo que a informação que vai para o 5G é a informação necessária para estabelecer as conexões e os serviços. Uma coisa que eu acho que o Tudy foi muito feliz aqui nessa tabela E ele resumiu bem, porque isso aí é um pandemônio. As pessoas ficam em loop, tentando entender como é esse negócio de dedicada, compartilhada. É muito simples. Ou você compra do operador a rede privativa, ou você tem uma rede privativa na empresa. Se você tiver, você vai ter que licenciar a frequência. Vai pagar por isso, claro. Se não, você deixa para a prestadora. E a sua base station pode ser dedicada e o seu core pode ser dedicado, ou você pode pedir o core da empresa prestadora. Você pode me emprestar o core para fazer esse serviço e eu coloco a rádio base, etc. É aquele assunto que nós estávamos falando ontem. De haver, conforme a implantação que você fizer, pode ter usuários que desfrutem ou tenham acesso a essas frequências, né? Não se você tiver um sistema de batilhamento.

39:10 - FAGUNDES Felipe Professor, com relação a redes privadas, pensando em ambientes de área, tem empresas, né? Seria, no caso, para empresas. Tem algumas empresas que, por exemplo, informações na bolsa e que a parte de Cyber Security é bem exigente. Nesse caso seria a situação mais ideal ao invés de ser compartilhado, a empresa adquirir.

39:41 - Loreno Eu acho que é um vetor forte nessa componente, mas tem que ver custos Entendeu?

39:52 - Palestrante Não Identificado Sim, sim.

39:53 - Loreno Agora, o fato de você usar os dados com segurança, etc., é justamente o papel desse gateway aqui, tá? Que tem um firewall, provavelmente, né? Agora, as conexões em si, a empresa prestadora poderia até prestar pra você, né? Eu concordo com você, o fator de segurança é um fator muito forte. A gente viu isso ontem, né? Segurança é um dos fatores chaves aí pra rede privativa. Você não quer que a sua conversa, a conversa que você tem com, digamos, você tem uma rede privativa de voz agora, só pra localizar, né? Entre diretores ali. Você não quer que essa conversa entre diretores Ainda mais que você tenha ações na bolsa, fique vazando para terceiros que vão lá, que podem escutar essa conversa, não a prestadora.

40:59 - FAGUNDES Felipe Perfeito, perfeito. Com relação a esse tipo de situação, a empresa que eu trabalho está pensando exatamente em implementar uma rede desse estilo. Foi cogitado a utilização da Starlink. Só que a Starlink, justamente pela questão da cybersecurity, financeira e a gente não poder implementar um, como é que eu posso dizer, um servidor...

41:27 - Loreno É o mesmo, ou mesmo uma partilha de dados de lucratividade.

41:34 - FAGUNDES Felipe Exatamente, exatamente. Por isso se tornou um pouquinho viável a utilização da Starlink e pelo que está se tornando mais viável a implementação de uma rede 4G, 5G.

41:53 - Loreno Eu diria que a escolha-chave, se escolher autônomo, é tudo dedicado. E se escolher por vida pelo operador, é tudo compartilhado. Boa noite.

42:09 - Palestrante Não Identificado Desculpa, perdão.

42:10 - FAGUNDES Felipe Pode concluir, colega, desculpa.

42:13 - FAGUNDES Felipe É bem rapidinho, Carlos, desculpa, é bem rapidinho. Só mais uma dúvida com relação a... Só para pegar o... Puxando o gancho, né? Essa questão do licenciamento do aspecto de frequência, ela é igual os equipamentos do Wi-Fi, quando você adquire o equipamento, ele já está integrado ali no valor do equipamento, a licença e a liberação do aspecto, ou a parte é por fora?

42:37 - Loreno Não, você tem que abrir, uma licença de frequência para Anatel. Você pede para Anatel. E aí, se o espectro permite naquela região, Anatel dá. Se não, ele pode se ocupar e Anatel negar. Agora eles estavam liberando essas faixas. Qual é a próxima pergunta aí?

43:02 - Carlos Batista Aproveitando o gancho do colega aí, se o senhor pode trazer essa informação, para compartilhar com os colegas, da realidade das redes privativas atualmente. Se ainda estão, se tem empresas fazendo estudo de mercado, se 90, não sei se o senhor pode dar esse percentual, 90% das redes privativas são providas pelas operadoras ou poucas são autônomas ainda, isso está...

